ticker,sector,cagr,mdd,sharpe,excess_cagr,excess_vs_bench,beats_bh,beats_bench
TSLA,임의소비재,32.37,-73.63,0.78,1.4699999999999989,20.259999999999998,True,True
QCOM,반도체,8.76,-45.57,0.41,1.7699999999999996,-3.3499999999999996,True,False
VZ,커뮤니케이션서비스,0.08,-50.32,0.1,0.020000000000000004,-12.03,True,False
AMT,리츠/부동산,4.27,-48.07,0.29,-0.41000000000000014,-7.84,False,False
JNJ,헬스케어,8.68,-27.83,0.56,0.5199999999999996,-3.4299999999999997,True,False
UPS,산업재,-0.25,-64.42,0.12,0.22999999999999998,-12.36,True,False
T,커뮤니케이션서비스,0.4,-56.54,0.13,0.77,-11.709999999999999,True,False
SPG,리츠/부동산,1.75,-80.66,0.23,0.28,-10.36,True,False
PFE,헬스케어,-1.55,-60.37,0.04,-0.6000000000000001,-13.66,False,False
O,리츠/부동산,2.74,-48.45,0.24,0.3600000000000003,-9.37,True,False
PEP,필수소비재,2.73,-34.72,0.24,-0.6200000000000001,-9.379999999999999,False,False
NKE,임의소비재,-1.2,-77.04,0.12,0.0,-13.309999999999999,False,False
HON,산업재,7.57,-43.32,0.44,-0.39999999999999947,-4.539999999999999,False,False
ABBV,헬스케어,13.22,-48.88,0.61,1.040000000000001,1.1100000000000012,True,True
KO,필수소비재,6.55,-37.54,0.45,0.16000000000000014,-5.56,True,False
SLB,에너지,-3.95,-87.26,0.09,0.0,-16.06,False,False
MCD,임의소비재,9.74,-38.01,0.56,0.0,-2.369999999999999,False,False
CVX,에너지,4.92,-59.42,0.31,0.0,-7.1899999999999995,False,False
PG,필수소비재,4.12,-25.71,0.33,-0.040000000000000036,-7.989999999999999,False,False
BA,산업재,5.17,-78.44,0.33,0.0,-6.9399999999999995,False,False
WFC,금융/은행,5.67,-65.39,0.33,1.54,-6.4399999999999995,True,False
EOG,에너지,3.88,-77.51,0.29,0.0,-8.23,False,False
HD,임의소비재,11.15,-38.41,0.58,-0.049999999999998934,-0.9599999999999991,False,False
XOM,에너지,1.45,-66.94,0.18,-3.34,-10.66,False,False
PLD,리츠/부동산,10.13,-48.12,0.5,-0.4499999999999993,-1.9799999999999986,False,False
COP,에너지,5.33,-71.62,0.33,0.0,-6.779999999999999,False,False
ORCL,소프트웨어/클라우드,9.58,-64.98,0.45,-1.1999999999999993,-2.5299999999999994,False,False
UNH,헬스케어,12.67,-61.97,0.56,0.0,0.5600000000000005,False,True
BAC,금융/은행,10.46,-49.27,0.49,-1.1399999999999988,-1.6499999999999986,False,False
CRM,소프트웨어/클라우드,10.61,-59.19,0.47,-0.3200000000000003,-1.5,False,False
WMT,필수소비재,13.83,-37.64,0.72,1.25,1.7200000000000006,True,True
GE,산업재,10.37,-82.3,0.46,0.23999999999999844,-1.7400000000000002,True,False
EQIX,리츠/부동산,8.82,-42.75,0.48,-5.140000000000001,-3.289999999999999,False,False
ADBE,소프트웨어/클라우드,11.44,-71.9,0.5,-0.34999999999999964,-0.6699999999999999,False,False
GS,금융/은행,15.74,-45.95,0.67,0.25,3.630000000000001,True,True
COST,필수소비재,17.76,-31.51,0.87,0.0,5.650000000000002,False,True
META,커뮤니케이션서비스,16.04,-76.74,0.6,-3.1099999999999994,3.9299999999999997,False,True
MS,금융/은행,15.92,-52.79,0.63,0.0,3.8100000000000005,False,True
JPM,금융/은행,16.51,-36.86,0.72,0.1700000000000017,4.400000000000002,True,True
MSFT,소프트웨어/클라우드,20.04,-37.56,0.84,-2.6900000000000013,7.93,False,True
CAT,산업재,21.05,-46.25,0.78,0.0,8.940000000000001,False,True
NOW,소프트웨어/클라우드,21.37,-64.54,0.68,0.0,9.260000000000002,False,True
GOOGL,커뮤니케이션서비스,23.8,-44.32,0.91,-0.9199999999999982,11.690000000000001,False,True
NFLX,커뮤니케이션서비스,26.28,-75.95,0.77,0.0,14.170000000000002,False,True
LLY,헬스케어,27.23,-34.83,0.99,-0.6400000000000006,15.120000000000001,False,True
TSM,반도체,28.85,-57.14,0.92,0.0,16.740000000000002,False,True
AMZN,임의소비재,28.06,-56.15,0.91,0.0,15.95,False,True
AVGO,반도체,32.63,-48.79,1.01,-5.239999999999995,20.520000000000003,False,True
AMD,반도체,56.25,-65.45,1.04,0.0,44.14,False,True
NVDA,반도체,68.69,-66.36,1.33,0.0,56.58,False,True
S&P500,S&P500,11.42,-26.48,0.74,-0.6600000000000001,-0.6899999999999995,False,False
