ticker,sector,cagr,mdd,sharpe,excess_cagr,excess_vs_bench,beats_bh,beats_bench
TSLA,임의소비재,32.37,-73.63,0.78,1.4699999999999989,20.259999999999998,True,True
QCOM,반도체,7.89,-45.57,0.39,0.8999999999999995,-4.22,True,False
VZ,커뮤니케이션서비스,0.08,-50.32,0.1,0.020000000000000004,-12.03,True,False
AMT,리츠/부동산,4.82,-48.07,0.31,0.14000000000000057,-7.289999999999999,True,False
JNJ,헬스케어,8.43,-27.83,0.54,0.2699999999999996,-3.6799999999999997,True,False
UPS,산업재,-0.36,-64.42,0.12,0.12,-12.469999999999999,True,False
T,커뮤니케이션서비스,0.03,-57.53,0.12,0.4,-12.08,True,False
SPG,리츠/부동산,1.61,-80.66,0.22,0.14000000000000012,-10.5,True,False
PFE,헬스케어,-1.21,-62.11,0.06,-0.26,-13.32,False,False
O,리츠/부동산,2.57,-48.45,0.23,0.18999999999999995,-9.54,True,False
PEP,필수소비재,3.06,-34.72,0.26,-0.29000000000000004,-9.049999999999999,False,False
NKE,임의소비재,-1.2,-77.04,0.12,0.0,-13.309999999999999,False,False
HON,산업재,7.79,-43.32,0.44,-0.17999999999999972,-4.319999999999999,False,False
ABBV,헬스케어,12.71,-48.88,0.59,0.5300000000000011,0.6000000000000014,True,True
KO,필수소비재,6.47,-37.54,0.44,0.08000000000000007,-5.64,True,False
SLB,에너지,-3.95,-87.26,0.09,0.0,-16.06,False,False
MCD,임의소비재,9.74,-38.01,0.56,0.0,-2.369999999999999,False,False
CVX,에너지,4.92,-59.42,0.31,0.0,-7.1899999999999995,False,False
PG,필수소비재,4.17,-25.71,0.32,0.009999999999999787,-7.9399999999999995,True,False
BA,산업재,5.17,-78.44,0.33,0.0,-6.9399999999999995,False,False
WFC,금융/은행,4.91,-66.68,0.31,0.7800000000000002,-7.199999999999999,True,False
EOG,에너지,3.88,-77.51,0.29,0.0,-8.23,False,False
HD,임의소비재,11.2,-38.41,0.57,0.0,-0.9100000000000001,True,False
XOM,에너지,3.19,-66.94,0.25,-1.6,-8.92,False,False
PLD,리츠/부동산,10.36,-48.12,0.51,-0.22000000000000064,-1.75,False,False
COP,에너지,5.33,-71.62,0.33,0.0,-6.779999999999999,False,False
ORCL,소프트웨어/클라우드,10.75,-64.98,0.47,-0.02999999999999936,-1.3599999999999994,False,False
UNH,헬스케어,12.67,-61.97,0.56,0.0,0.5600000000000005,False,True
BAC,금융/은행,11.06,-49.27,0.5,-0.5399999999999991,-1.049999999999999,False,False
CRM,소프트웨어/클라우드,10.81,-59.19,0.47,-0.11999999999999922,-1.299999999999999,False,False
WMT,필수소비재,13.22,-37.64,0.69,0.6400000000000006,1.1100000000000012,True,True
GE,산업재,10.26,-82.3,0.46,0.129999999999999,-1.8499999999999996,True,False
EQIX,리츠/부동산,8.73,-42.75,0.47,-5.23,-3.379999999999999,False,False
ADBE,소프트웨어/클라우드,11.64,-71.9,0.5,-0.14999999999999858,-0.46999999999999886,False,False
GS,금융/은행,15.67,-48.22,0.66,0.17999999999999972,3.5600000000000005,True,True
COST,필수소비재,17.76,-31.51,0.87,0.0,5.650000000000002,False,True
META,커뮤니케이션서비스,17.65,-76.74,0.63,-1.5,5.539999999999999,False,True
MS,금융/은행,15.92,-52.79,0.63,0.0,3.8100000000000005,False,True
JPM,금융/은행,16.45,-40.01,0.71,0.10999999999999943,4.34,True,True
MSFT,소프트웨어/클라우드,21.43,-37.56,0.87,-1.3000000000000007,9.32,False,True
CAT,산업재,21.05,-46.25,0.78,0.0,8.940000000000001,False,True
NOW,소프트웨어/클라우드,21.37,-64.54,0.68,0.0,9.260000000000002,False,True
GOOGL,커뮤니케이션서비스,24.3,-44.32,0.91,-0.41999999999999815,12.190000000000001,False,True
NFLX,커뮤니케이션서비스,26.28,-75.95,0.77,0.0,14.170000000000002,False,True
LLY,헬스케어,27.23,-34.83,0.99,-0.6400000000000006,15.120000000000001,False,True
TSM,반도체,28.85,-57.14,0.92,0.0,16.740000000000002,False,True
AMZN,임의소비재,28.06,-56.15,0.91,0.0,15.95,False,True
AVGO,반도체,35.46,-48.79,1.02,-2.4099999999999966,23.35,False,True
AMD,반도체,56.25,-65.45,1.04,0.0,44.14,False,True
NVDA,반도체,68.69,-66.36,1.33,0.0,56.58,False,True
S&P500,S&P500,11.77,-30.27,0.74,-0.3100000000000005,-0.33999999999999986,False,False
